name,ranking
THE BEATLES,1
MADONNA,2
ELTON JOHN,3
ELVIS PRESLEY,4
MARIAH CAREY,5
STEVIE WONDER,6
JANET JACKSON,7
MICHAEL JACKSON,8
WHITNEY HOUSTON,9
THE ROLLING STONES,10
PAUL MCCARTNEY,11
BEE GEES,12
RIHANNA,13
USHER,14
CHICAGO,15
THE SUPREMES,16
DARYL HALL JOHN OATES,17
PRINCE,18
ROD STEWART,19
OLIVIA NEWTON-JOHN,20
ARETHA FRANKLIN,21
MARVIN GAYE,22
PHIL COLLINS,23
KATY PERRY,24
BILLY JOEL,25
DIANA ROSS,26
THE 4 SEASONS,27
THE TEMPTATIONS,28
DONNA SUMMER,29
THE BEACH BOYS,30
LIONEL RICHIE,31
NEIL DIAMOND,32
CARPENTERS,33
TAYLOR SWIFT,34
BOYZ II MEN,35
THE JACKSONS,36
CONNIE FRANCIS,37
KENNY ROGERS,38
BEYONCE,39
BRENDA LEE,40
BARBRA STREISAND,41
BRYAN ADAMS,42
CHER,43
MAROON 5,44
GEORGE MICHAEL,45
THE BLACK EYED PEAS,46
BOBBY VINTON,47
JOHN MELLENCAMP,48
THREE DOG NIGHT,49
HUEY LEWIS & THE NEWS,50
GLORIA ESTEFAN,51
BON JOVI,52
P!NK,53
CHUBBY CHECKER,54
RAY CHARLES,55
FOREIGNER,56
KOOL & THE GANG,57
RICKY NELSON,58
DURAN DURAN,59
COMMODORES,60
BRUNO MARS,61
EAGLES,62
TLC,63
PAUL ANKA,64
BARRY MANILOW,65
DIONNE WARWICK,66
CHRIS BROWN,67
LADY GAGA,68
GLADYS KNIGHT AND THE PIPS,69
HEART,70
NELLY,71
THE EVERLY BROTHERS,72
BOBBY DARIN,73
R. KELLY,74
JAMES BROWN,75
PAULA ABDUL,76
ALICIA KEYS,77
LINDA RONSTADT,78
KELLY CLARKSON,79
RICHARD MARX,80
STARSHIP,81
DESTINY'S CHILD,82
CELINE DION,83
THE MIRACLES,84
EMINEM,85
JAY Z,86
BOB SEGER,87
FLEETWOOD MAC,88
KANYE WEST,89
JUSTIN TIMBERLAKE,90
NEIL SEDAKA,91
BRUCE SPRINGSTEEN,92
THE POINTER SISTERS,93
JOHN DENVER,94
FOUR TOPS,95
TONY ORLANDO & DAWN,96
50 CENT,97
THE 5TH DIMENSION,98
CAPTAIN & TENNILLE,99
ANDY GIBB,100